work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_category_range,salary_level
2025,SE,FT,AI Engineer,266000,USD,266000,US,0,US,M,185500-800000,Very High
2025,SE,FT,AI Engineer,218000,USD,218000,US,0,US,M,185500-800000,Very High
2025,SE,FT,AI Engineer,212000,USD,212000,US,0,US,M,185500-800000,Very High
2025,SE,FT,AI Engineer,174000,USD,174000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Analyst,119681,USD,119681,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Analyst,72534,USD,72534,US,0,US,M,15000-100000,Low
2025,SE,FT,Data Analyst,218500,USD,218500,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Analyst,105000,USD,105000,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Analyst,162800,USD,162800,US,0,US,M,140000-185500,High
2025,MI,FT,Data Analyst,97700,USD,97700,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,162800,USD,162800,US,0,US,M,140000-185500,High
2025,MI,FT,Data Analyst,97700,USD,97700,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,62000,USD,62000,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,44000,USD,44000,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,115500,USD,115500,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Analyst,98175,USD,98175,US,0,US,M,15000-100000,Low
2025,SE,FT,Data Analyst,232000,USD,232000,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Analyst,129000,USD,129000,US,0,US,M,100000-140000,Medium
2025,SE,FT,AI Scientist,308000,USD,308000,US,0,US,M,185500-800000,Very High
2025,SE,FT,AI Scientist,224000,USD,224000,US,0,US,M,185500-800000,Very High
2025,SE,FT,AI Scientist,269500,USD,269500,CA,0,CA,M,185500-800000,Very High
2025,SE,FT,AI Scientist,196000,USD,196000,CA,0,CA,M,185500-800000,Very High
2025,MI,FT,Data Engineer,90900,EUR,95684,NL,0,NL,M,15000-100000,Low
2025,MI,FT,Data Engineer,60456,EUR,63637,NL,0,NL,M,15000-100000,Low
2025,SE,FT,AI Engineer,222750,USD,222750,US,0,US,M,185500-800000,Very High
2025,SE,FT,AI Engineer,148500,USD,148500,US,0,US,M,140000-185500,High
2025,SE,FT,AI Engineer,149600,USD,149600,US,0,US,M,140000-185500,High
2025,SE,FT,AI Engineer,108800,USD,108800,US,0,US,M,100000-140000,Medium
2025,SE,FT,ML Scientist,274000,USD,274000,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Scientist,147600,USD,147600,US,0,US,M,140000-185500,High
2025,SE,FT,Data Scientist,156800,USD,156800,US,100,US,M,140000-185500,High
2025,SE,FT,Data Scientist,114000,USD,114000,US,100,US,M,100000-140000,Medium
2025,MI,FT,Data Specialist,68000,USD,68000,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Specialist,54000,USD,54000,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Engineer,223500,USD,223500,US,0,US,M,185500-800000,Very High
2025,MI,FT,Data Engineer,119200,USD,119200,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Engineer,228200,USD,228200,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,91300,USD,91300,US,100,US,M,15000-100000,Low
2025,SE,FT,Data Engineer,230180,USD,230180,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,164415,USD,164415,US,0,US,M,140000-185500,High
2025,MI,FT,Data Engineer,231250,USD,231250,US,0,US,M,185500-800000,Very High
2025,MI,FT,Data Engineer,111000,USD,111000,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Engineer,140200,USD,140200,US,0,US,M,140000-185500,High
2025,MI,FT,Data Engineer,104600,USD,104600,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,195700,USD,195700,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,142300,USD,142300,US,100,US,M,140000-185500,High
2025,SE,FT,Data Scientist,186600,USD,186600,CA,100,CA,M,185500-800000,Very High
2025,SE,FT,Data Scientist,124400,USD,124400,CA,100,CA,M,100000-140000,Medium
2025,SE,FT,Data Scientist,191869,USD,191869,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,125629,USD,125629,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Specialist,103576,USD,103576,US,100,US,M,100000-140000,Medium
2025,MI,FT,Data Specialist,60927,USD,60927,US,100,US,M,15000-100000,Low
2025,SE,FT,Data Analyst,164000,USD,164000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Analyst,82000,USD,82000,US,0,US,M,15000-100000,Low
2025,SE,FT,Data Scientist,161700,USD,161700,US,100,US,M,140000-185500,High
2025,SE,FT,Data Scientist,117600,USD,117600,US,100,US,M,100000-140000,Medium
2025,SE,FT,ML Engineer,135000,GBP,170886,GB,0,GB,M,140000-185500,High
2025,SE,FT,ML Engineer,100000,GBP,126582,GB,0,GB,M,100000-140000,Medium
2025,MI,FT,Data Scientist,127000,USD,127000,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Scientist,127000,USD,127000,US,0,US,M,100000-140000,Medium
2025,EX,FT,Data Scientist,175000,USD,175000,US,0,US,M,140000-185500,High
2025,EX,FT,Data Scientist,145000,USD,145000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Scientist,220500,USD,220500,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,196000,USD,196000,US,0,US,M,185500-800000,Very High
2025,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M,140000-185500,High
2025,MI,FT,Data Scientist,130000,USD,130000,US,100,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,225030,USD,225030,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,171680,USD,171680,US,0,US,M,140000-185500,High
2025,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,99000,USD,99000,US,0,US,M,15000-100000,Low
2025,SE,FT,Data Scientist,257000,USD,257000,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,112800,USD,112800,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,340500,USD,340500,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,148000,USD,148000,US,0,US,M,140000-185500,High
2025,MI,FT,Data Scientist,148700,USD,148700,US,0,US,M,140000-185500,High
2025,MI,FT,Data Scientist,122740,USD,122740,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M,140000-185500,High
2025,SE,FT,Data Engineer,90000,USD,90000,US,100,US,M,15000-100000,Low
2025,SE,FT,Data Engineer,106400,GBP,134683,GB,0,GB,M,100000-140000,Medium
2025,SE,FT,Data Engineer,90440,GBP,114481,GB,0,GB,M,100000-140000,Medium
2025,MI,FT,Data Engineer,205600,USD,205600,US,0,US,L,185500-800000,Very High
2025,MI,FT,Data Engineer,118900,USD,118900,US,0,US,L,100000-140000,Medium
2025,SE,FT,Data Engineer,176000,USD,176000,DE,0,DE,M,140000-185500,High
2025,SE,FT,Data Engineer,77500,USD,77500,DE,0,DE,M,15000-100000,Low
2025,SE,FT,Data Engineer,176000,USD,176000,GB,0,GB,M,140000-185500,High
2025,SE,FT,Data Engineer,77500,USD,77500,GB,0,GB,M,15000-100000,Low
2025,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Engineer,90000,USD,90000,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Engineer,110000,USD,110000,US,0,US,M,100000-140000,Medium
2025,SE,FT,ML Engineer,255000,USD,255000,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,204000,USD,204000,US,0,US,M,185500-800000,Very High
2025,MI,FT,ML Engineer,292000,USD,292000,US,0,US,M,185500-800000,Very High
2025,MI,FT,ML Engineer,128700,USD,128700,US,0,US,M,100000-140000,Medium
2025,SE,FT,ML Engineer,301200,USD,301200,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,162000,USD,162000,US,0,US,M,140000-185500,High
2025,EN,FT,AI Engineer,70000,USD,70000,US,100,US,M,15000-100000,Low
2025,EN,FT,AI Engineer,60000,USD,60000,US,100,US,M,15000-100000,Low
2025,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Analyst,85000,USD,85000,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,126000,USD,126000,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Analyst,55300,USD,55300,US,0,US,M,15000-100000,Low
2025,SE,FT,Data Analyst,116706,USD,116706,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Analyst,70024,USD,70024,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,86767,USD,86767,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,60297,USD,60297,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,189600,USD,189600,US,100,US,M,185500-800000,Very High
2025,MI,FT,Data Analyst,90300,USD,90300,US,100,US,M,15000-100000,Low
2025,SE,FT,AI Solutions,126000,EUR,132631,IE,50,IE,L,100000-140000,Medium
2025,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Scientist,125000,USD,125000,US,0,US,M,100000-140000,Medium
2025,SE,FT,ML Engineer,218900,USD,218900,US,100,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,186065,USD,186065,US,100,US,M,185500-800000,Very High
2025,EN,FT,Data Engineer,113630,USD,113630,AU,0,AU,M,100000-140000,Medium
2025,EN,FT,Data Engineer,104969,USD,104969,AU,0,AU,M,100000-140000,Medium
2025,SE,FT,Data Engineer,205000,USD,205000,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,120000,USD,120000,US,100,US,M,100000-140000,Medium
2025,MI,FT,Data Engineer,125000,USD,125000,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Engineer,78000,USD,78000,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Engineer,72000,USD,72000,US,0,US,M,15000-100000,Low
2025,EN,FT,Data Engineer,55000,EUR,57894,DE,0,DE,M,15000-100000,Low
2025,EN,FT,Data Engineer,50000,EUR,52631,DE,0,DE,M,15000-100000,Low
2025,MI,FT,Data Engineer,160000,USD,160000,US,0,US,M,140000-185500,High
2025,MI,FT,Data Engineer,125000,USD,125000,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Engineer,139217,USD,139217,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Engineer,119079,USD,119079,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Engineer,216000,USD,216000,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,135000,USD,135000,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Engineer,123000,USD,123000,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Engineer,90000,USD,90000,US,0,US,M,15000-100000,Low
2025,SE,FT,Data Engineer,213850,USD,213850,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,136800,USD,136800,US,100,US,M,100000-140000,Medium
2025,SE,FT,Data Engineer,165000,USD,165000,US,100,US,M,140000-185500,High
2025,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,140000-185500,High
2025,SE,FT,ML Engineer,220000,USD,220000,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,200000,USD,200000,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,324000,USD,324000,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,159000,USD,159000,US,0,US,M,140000-185500,High
2025,SE,FT,ML Engineer,250000,USD,250000,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,218368,USD,218368,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,250000,USD,250000,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,218368,USD,218368,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,255000,USD,255000,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,204000,USD,204000,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,211200,USD,211200,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,153600,USD,153600,US,0,US,M,140000-185500,High
2025,SE,FT,ML Engineer,211200,USD,211200,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,153600,USD,153600,US,0,US,M,140000-185500,High
2025,SE,FT,ML Scientist,199000,USD,199000,US,100,US,M,185500-800000,Very High
2025,SE,FT,ML Scientist,159200,USD,159200,US,100,US,M,140000-185500,High
2025,SE,FT,ML Scientist,218700,USD,218700,US,100,US,M,185500-800000,Very High
2025,SE,FT,ML Scientist,131200,USD,131200,US,100,US,M,100000-140000,Medium
2025,SE,FT,AI Developer,143400,USD,143400,US,0,US,M,140000-185500,High
2025,SE,FT,AI Developer,76600,USD,76600,US,0,US,M,15000-100000,Low
2025,SE,FT,AI Developer,213400,USD,213400,US,0,US,M,185500-800000,Very High
2025,SE,FT,AI Developer,102500,USD,102500,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Analyst,149880,USD,149880,US,0,US,M,140000-185500,High
2025,SE,FT,Data Analyst,64974,USD,64974,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M,140000-185500,High
2025,MI,FT,Data Analyst,135000,USD,135000,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Analyst,128000,USD,128000,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Analyst,115000,USD,115000,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Analyst,179000,USD,179000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Analyst,112000,USD,112000,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Analyst,75000,USD,75000,US,100,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,55000,USD,55000,US,100,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,74402,USD,74402,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,52000,USD,52000,US,0,US,M,15000-100000,Low
2025,SE,FT,Data Analyst,166000,USD,166000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Analyst,166000,USD,166000,US,0,US,M,140000-185500,High
2025,MI,FT,Data Analyst,87360,USD,87360,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,58240,USD,58240,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,124000,USD,124000,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Analyst,105400,USD,105400,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Analyst,148000,USD,148000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Analyst,148000,USD,148000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Analyst,183500,USD,183500,US,0,US,M,140000-185500,High
2025,SE,FT,Data Analyst,89400,USD,89400,US,0,US,M,15000-100000,Low
2025,SE,FT,Data Analyst,124000,USD,124000,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Analyst,124000,USD,124000,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,196900,USD,196900,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,178286,USD,178286,US,0,US,M,140000-185500,High
2025,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M,140000-185500,High
2025,SE,FT,Data Scientist,148000,USD,148000,US,100,US,M,140000-185500,High
2025,SE,FT,Data Scientist,190000,USD,190000,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,217000,USD,217000,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,195000,USD,195000,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,190000,USD,190000,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M,140000-185500,High
2025,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Scientist,60000,EUR,63157,LT,0,LT,M,15000-100000,Low
2025,SE,FT,Data Scientist,45000,EUR,47368,LT,0,LT,M,15000-100000,Low
2025,MI,FT,Data Scientist,68100,EUR,71684,IE,0,IE,M,15000-100000,Low
2025,MI,FT,Data Scientist,57900,EUR,60947,IE,0,IE,M,15000-100000,Low
2025,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Engineer,195500,USD,195500,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,122400,USD,122400,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Engineer,189750,USD,189750,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,93750,USD,93750,US,100,US,M,15000-100000,Low
2025,SE,FT,Data Engineer,220700,USD,220700,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,175800,USD,175800,US,0,US,M,140000-185500,High
2025,MI,FT,Data Analyst,99000,USD,99000,US,100,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,55100,USD,55100,US,100,US,M,15000-100000,Low
2025,MI,FT,AI Specialist,85000,USD,85000,US,0,US,M,15000-100000,Low
2025,MI,FT,AI Specialist,65000,USD,65000,US,0,US,M,15000-100000,Low
2025,SE,FT,Data Scientist,133840,USD,133840,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,120460,USD,120460,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Engineer,151360,USD,151360,US,0,US,M,140000-185500,High
2025,SE,FT,Data Engineer,100906,USD,100906,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Engineer,116200,USD,116200,US,100,US,M,100000-140000,Medium
2025,MI,FT,Data Engineer,93000,USD,93000,US,100,US,M,15000-100000,Low
2025,MI,FT,Data Engineer,118000,USD,118000,US,100,US,M,100000-140000,Medium
2025,MI,FT,Data Engineer,74000,USD,74000,US,100,US,M,15000-100000,Low
2025,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Engineer,199500,USD,199500,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,97500,USD,97500,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Engineer,49200,EUR,51789,SK,0,SK,M,15000-100000,Low
2025,MI,FT,Data Engineer,28800,EUR,30315,SK,0,SK,M,15000-100000,Low
2025,MI,FT,Data Scientist,173300,USD,173300,US,0,US,M,140000-185500,High
2025,MI,FT,Data Scientist,86700,USD,86700,US,0,US,M,15000-100000,Low
2025,SE,FT,AI Scientist,189175,USD,189175,US,100,US,M,185500-800000,Very High
2025,SE,FT,AI Scientist,104650,USD,104650,US,100,US,M,100000-140000,Medium
2025,SE,FT,ML Engineer,203900,USD,203900,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,138900,USD,138900,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Analyst,165600,USD,165600,US,0,US,M,140000-185500,High
2025,SE,FT,Data Analyst,90100,USD,90100,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,45000,GBP,56962,GB,0,GB,M,15000-100000,Low
2025,MI,FT,Data Analyst,40000,GBP,50632,GB,0,GB,M,15000-100000,Low
2025,MI,FT,Data Analyst,96000,USD,96000,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Analyst,68000,USD,68000,US,0,US,M,15000-100000,Low
2025,SE,FT,Data Scientist,145000,USD,145000,US,0,US,M,140000-185500,High
2025,SE,FT,Data Scientist,128000,USD,128000,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,204100,USD,204100,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,152200,USD,152200,US,0,US,M,140000-185500,High
2025,SE,FT,Data Scientist,186600,USD,186600,CA,100,CA,M,185500-800000,Very High
2025,SE,FT,Data Scientist,124400,USD,124400,CA,100,CA,M,100000-140000,Medium
2025,SE,FT,Data Scientist,203000,USD,203000,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,101000,USD,101000,US,100,US,M,100000-140000,Medium
2025,MI,FT,Data Scientist,115000,USD,115000,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Scientist,100000,USD,100000,US,0,US,M,15000-100000,Low
2025,SE,FT,AI Engineer,122200,USD,122200,US,100,US,M,100000-140000,Medium
2025,SE,FT,AI Engineer,67600,USD,67600,US,100,US,M,15000-100000,Low
2025,MI,FT,Data Engineer,153925,USD,153925,US,0,US,M,140000-185500,High
2025,MI,FT,Data Engineer,85150,USD,85150,US,0,US,M,15000-100000,Low
2025,EN,FT,Data Engineer,113630,USD,113630,AU,0,AU,M,100000-140000,Medium
2025,EN,FT,Data Engineer,104969,USD,104969,AU,0,AU,M,100000-140000,Medium
2025,SE,FT,Data Engineer,160500,USD,160500,US,0,US,M,140000-185500,High
2025,SE,FT,Data Engineer,107700,USD,107700,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,217464,USD,217464,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,181220,USD,181220,US,0,US,M,140000-185500,High
2025,SE,FT,ML Engineer,346200,USD,346200,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,197800,USD,197800,US,0,US,M,185500-800000,Very High
2025,MI,FT,ML Engineer,176000,USD,176000,US,0,US,M,140000-185500,High
2025,MI,FT,ML Engineer,77600,USD,77600,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Scientist,355000,USD,355000,US,0,US,M,185500-800000,Very High
